Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP ,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports,category
Mongolia,152.22,1951528196,98.1,24.7,1689.791289,11.42800452,37.97567033,13178094459,7.74488062,7.960615867,5.380000114,31.555,69.689,9.695972287,developing country
Mozambique,102.81,1678061192,31.1,36.1,11.83210922,24.56767288,25.34467979,14845870051,3.44381384,3.00116964,3.45600009,64.012,60.163,1.290157578,developing country
Mauritania,102.96,772890477.2,44.29382706,67,5.450442758,23.33066332,22.91666518,7354430040,4.526746225,3.102955543,10.38500023,46.328,64.704,1.157148164,developing country
Mauritius,89.23,460511368.2,99.42006683,22.1,7844.761294,2.78458866,17.45557458,14181951059,3.759677227,1.447272084,6.429999828,59.207,74.41634146,8.808760432,developing country
Malawi,117.66,77012306,18.02,34.5,15.37764944,21.62943584,18.37113077,9880675786,4.391688296,6.129094001,5.757999897,83.063,63.798,5.813792856,developing country
Malaysia,107.42,8304480742,100,39.2,5713.137892,7.512087639,38.29142952,3.59E+11,4.84305661,0.624729188,3.299999952,23.964,75.997,5.953617841,developing country
Namibia,101.92,234372724.5,53.96953964,20.7,149.4914839,7.768297709,26.86990511,13682062249,1.059943471,4.428484637,19.87999916,49.968,63.373,1.088654391,developed country
Niger,119.29,466042273,17.6,47.2,0.490134244,37.66166253,19.74173756,12808660528,7.210803008,2.175787868,0.545000017,83.575,62.024,4.185802425,developed country
Nigeria,101.9,775247400,56.5,34.8,184.2096134,21.20377372,25.73330658,3.97E+11,1.922757342,10.22848509,8.456000328,49.656,54.332,18.45126566,developing country
Nicaragua,107.98,837600000,87.19432068,60.6,69.29083001,15.32219605,24.99565355,13025239912,-3.363687646,2.658974525,5.199999809,41.478,74.275,5.167155252,developing country
Netherlands,86.9,-3.45E+11,100,40.8,100581.5238,1.650673719,17.80572542,9.14E+11,2.360915095,2.437090745,3.829999924,8.51,81.81219512,3.44848319,developing country
Norway,96.35,-5664319362,100,37,20886.24895,1.862995582,31.79276288,4.37E+11,1.118828479,6.651608266,3.799999952,17.752,82.75853659,13.04832495,developing country
Nepal,106.57,68261793.94,93.92,37,182.44777,22.33467205,13.20063963,33111525183,7.622376105,4.355858468,3.193000078,80.26,70.478,6.250742092,developing country
New Zealand,100.02,2516488850,100,34.6,17618.04677,5.652368113,20.41986039,2.12E+11,3.20574788,2.035857045,4.329999924,13.462,81.85853659,7.885659454,developed country
Oman,130.65,5941222367,100,27.4,156.7457836,1.849420191,53.89353115,91505851756,1.287103915,11.73229461,1.799999952,15.461,77.633,9.074202769,2 pending recognition developed country
Other small states,98.86,7067493835,77.48413348,39.24615385,4682.763452,2.076484841,42.52526019,4.42E+11,2.209113589,2.732764144,9.923449443,37.88180965,68.54681339,11.40999755,developing country
Pakistan,108.14,1737000000,72.63497925,34.1,109.1324828,22.85564472,17.91220506,3.15E+11,5.836417498,2.459286095,4.079999924,63.334,67.114,4.324576998,developing country
Panama,103.64,5267261732,94.94482422,37.2,2141.556784,2.248462435,27.752842,64929409212,3.685344349,0.673383441,3.832999945,32.291,78.329,4.826739623,developing country
Peru,111.05,6193947139,95.2,36.8,257.3363283,6.863983464,31.66063807,2.23E+11,3.96915687,2.267261262,3.49000001,22.093,76.516,6.529788862,developing country
Philippines,104.48,9948598824,94.43275452,42.9,92.85391994,9.650140358,30.56374015,3.47E+11,6.341485571,3.74065383,2.339999914,53.093,71.095,9.614746316,developing country
Palau,98.86,21500000,100,75.8,837.4741779,3.512469266,8.991921321,284700000,-0.107219442,-0.103196146,12.42599964,20.07,65.941,15.20177688,developing country
Papua New Guinea,103.71,1134643538,58.88763428,39.3,49.84706595,16.97383549,36.92404502,24109509853,-0.279252285,9.797605661,2.563999891,86.831,64.263,2.766404534,developing country
Poland,106.15,17624000000,100,40.7,16227.07194,2.338426296,28.5367101,5.87E+11,5.353703355,1.201610335,3.849999905,39.942,77.60243902,3.381796949,developing country
Puerto Rico,103.44,119435105.7,100,64.4,384.8618099,0.708149616,50.77879614,1.01E+11,-4.147474747,1.784931078,9.199999809,6.422,79.77819512,15.20177688,1 pending recognition developed country
Portugal,101.95,7846086578,100,39.8,15977.32827,2.036529883,19.29930797,2.42E+11,2.849325934,1.812996752,6.989999771,34.789,81.32439024,6.204084499,developed country
Paraguay,109.21,329365809.6,99.6,35,248.4161672,10.25270136,33.25367724,40225448341,3.204250341,1.960248198,6.21999979,38.415,74.131,3.955773025,developing country
Qatar,112.64,-2186263736,100,11.3,396.5226794,0.218257646,60.38152349,1.83E+11,1.234872202,12.41440353,0.109999999,0.865,80.1,17.86023911,developing country
Romania,125.52,7343560129,100,40,15938.09583,4.331834131,28.1915063,2.41E+11,4.474523775,6.186225461,4.190000057,46.002,75.35853659,5.591096785,developing country
Russian Federation,104.5,8784850000,100,46.3,5190.622322,3.394254979,32.55431338,1.66E+12,2.80724541,9.997924911,4.849999905,25.567,72.66219512,11.29007838,developing country
Rwanda,89.59,366192315.5,34.74223709,33.2,36.49822236,24.61496878,17.34432226,9640280084,8.579424541,-0.62603277,1.110999942,82.789,68.7,11.67183303,developing country
Saudi Arabia,113.29,4247107441,100,15.7,161.5594831,2.224446294,49.54066522,7.87E+11,2.434110781,11.50846501,6.039999962,16.156,74.998,8.559116322,2 pending recognition developed country
